Case,m3 (M_sun),a3 (AU),(a_f/a_0)_closed,(a_f/a_0)_unclosed,<|ΔL_pair|>/L0 closed,<|ΔL_pair|>/L0 unclosed
D,0.3,8.0,0.8187215571077274,0.9994563738816815,9.463307160185562e-17,0.00019971212100240436
E,0.8,5.0,0.8157065240372552,0.9970071429661238,1.0572811401371955e-16,0.00019971212100241108
